,Unnamed: 0,Energy,Error,Method,Architecture
41,41,42392.7001621,17.7942058369,FLEXIBO-GPLC,DeepSpeech
42,42,41441.3707555,19.9450938792,FLEXIBO-GPLC,DeepSpeech
43,43,35029.1381632,20.0618467863,FLEXIBO-GPLC,DeepSpeech
44,44,34573.9808292,21.0418364945,FLEXIBO-GPLC,DeepSpeech
45,45,33024.0800002,21.2951231872,FLEXIBO-GPLC,DeepSpeech
46,46,30975.2169773,21.4036428141,FLEXIBO-GPLC,DeepSpeech
47,47,29251.516028,21.522577615,FLEXIBO-GPLC,DeepSpeech
48,48,27259.6003364,22.0631367514,FLEXIBO-GPLC,DeepSpeech
49,49,23342.989457,22.5803313749,FLEXIBO-GPLC,DeepSpeech
50,50,22141.935028,22.8220103186,FLEXIBO-GPLC,DeepSpeech
51,51,14143.0612697,27.3305905613,FLEXIBO-GPLC,DeepSpeech
52,52,44815.0829789,21.9945521026,FLEXIBO-RFLC,DeepSpeech
53,53,33543.5627222,22.7193600115,FLEXIBO-RFLC,DeepSpeech
54,54,20843.1551453,27.2862283136,FLEXIBO-RFLC,DeepSpeech
55,74,40200.8634293,19.6617642853,FlexiBO+GP-No Cost,DeepSpeech
56,75,38484.420877,23.2996704072,FlexiBO+GP-No Cost,DeepSpeech
57,76,34763.6752936,23.6566877729,FlexiBO+GP-No Cost,DeepSpeech
58,77,34534.5503611,24.7655578838,FlexiBO+GP-No Cost,DeepSpeech
59,78,34289.5577013,24.8612018699,FlexiBO+GP-No Cost,DeepSpeech
60,79,31680.8763692,25.0583838111,FlexiBO+GP-No Cost,DeepSpeech
61,80,29475.3229479,25.0876834215,FlexiBO+GP-No Cost,DeepSpeech
62,81,25972.9873009,25.1032381651,FlexiBO+GP-No Cost,DeepSpeech
63,82,24950.5390511,28.1225860657,FlexiBO+GP-No Cost,DeepSpeech
64,83,24661.1259678,29.9542968474,FlexiBO+GP-No Cost,DeepSpeech
65,84,23910.0295129,32.082593161,FlexiBO+GP-No Cost,DeepSpeech
66,85,42882.743985,21.0369788816,FlexiBO+RF-No Cost,DeepSpeech
67,86,37101.0333724,26.6763206769,FlexiBO+RF-No Cost,DeepSpeech
68,87,36763.1103988,28.7428090494,FlexiBO+RF-No Cost,DeepSpeech
69,88,34006.9025842,29.9637458716,FlexiBO+RF-No Cost,DeepSpeech
70,89,32897.4451779,30.3172810086,FlexiBO+RF-No Cost,DeepSpeech
71,90,30986.6834489,31.4769744283,FlexiBO+RF-No Cost,DeepSpeech
72,91,29828.1266525,32.0097860968,FlexiBO+RF-No Cost,DeepSpeech
73,92,28193.8990233,33.9334334499,FlexiBO+RF-No Cost,DeepSpeech
74,93,25566.9914724,34.6716614059,FlexiBO+RF-No Cost,DeepSpeech
75,55,47752.8558708,23.4089520834,Ratio-FlexiBO+GP,DeepSpeech
76,56,46429.9945935,24.5571496689,Ratio-FlexiBO+GP,DeepSpeech
77,57,40784.9747796,25.6322205267,Ratio-FlexiBO+GP,DeepSpeech
78,58,39354.6478769,26.6961939545,Ratio-FlexiBO+GP,DeepSpeech
79,59,35967.8734324,27.0449488848,Ratio-FlexiBO+GP,DeepSpeech
80,60,34757.8387692,27.5183085928,Ratio-FlexiBO+GP,DeepSpeech
81,61,28900.7434896,28.6299384356,Ratio-FlexiBO+GP,DeepSpeech
82,62,12923.1169246,29.5850511507,Ratio-FlexiBO+GP,DeepSpeech
83,63,41880.5219676,24.8462868961,Ratio-FlexiBO+RF,DeepSpeech
84,64,36853.2677769,26.3106557378,Ratio-FlexiBO+RF,DeepSpeech
85,65,34983.5110211,26.5878677401,Ratio-FlexiBO+RF,DeepSpeech
86,66,34070.7802213,26.644551594,Ratio-FlexiBO+RF,DeepSpeech
87,67,32482.4966304,27.1532480986,Ratio-FlexiBO+RF,DeepSpeech
88,68,29348.75738,27.4038092651,Ratio-FlexiBO+RF,DeepSpeech
89,69,26029.1154286,27.691446929,Ratio-FlexiBO+RF,DeepSpeech
90,70,25320.2142722,28.1242798204,Ratio-FlexiBO+RF,DeepSpeech
91,71,23591.8939443,28.7718256757,Ratio-FlexiBO+RF,DeepSpeech
92,72,22807.2819138,29.9038862247,Ratio-FlexiBO+RF,DeepSpeech
93,72,58608.7760803,18.5831464087,PESMO-DEC,DeepSpeech
94,72,54297.8660362,20.0577785517,PESMO-DEC,DeepSpeech
95,72,49700.4962454,22.2869334375,PESMO-DEC,DeepSpeech
96,72,48650.5812107,23.8551998791,PESMO-DEC,DeepSpeech
97,72,35251.9437218,28.9967200014,PESMO-DEC,DeepSpeech
98,72,34605.9985051,30.1247198774,PESMO-DEC,DeepSpeech
99,72,32472.6416517,31.4593722599,PESMO-DEC,DeepSpeech
100,72,25785.1918696,33.5114209412,PESMO-DEC,DeepSpeech
101,72,25449.2842645,34.8305143527,PESMO-DEC,DeepSpeech
102,72,23385.2146382,34.8322990114,PESMO-DEC,DeepSpeech
103,72,55835.9923234,22.8645675239,CA-MOBO,DeepSpeech
104,72,51042.5103118,25.5045494799,CA-MOBO,DeepSpeech
105,72,50846.01202,26.8026226256,CA-MOBO,DeepSpeech
106,72,49264.7386299,26.8057030178,CA-MOBO,DeepSpeech
107,72,40369.0762064,32.2826995907,CA-MOBO,DeepSpeech
108,72,39153.0042541,35.0067542657,CA-MOBO,DeepSpeech
109,72,30062.3349898,36.2678286705,CA-MOBO,DeepSpeech
