,Unnamed: 0,Energy,Error,Method,Architecture
0,0,51100.0794052,19.7772034202,PAL,DeepSpeech
1,1,49240.4967993,22.5334032291,PAL,DeepSpeech
2,2,40347.6398153,23.5287567149,PAL,DeepSpeech
3,3,38715.5917465,24.2781149281,PAL,DeepSpeech
4,4,34352.7255054,32.1498057335,PAL,DeepSpeech
5,5,28413.6409355,32.33817347,PAL,DeepSpeech
6,6,22094.8116453,33.018952446,PAL,DeepSpeech
7,7,19987.0762085,33.1555457831,PAL,DeepSpeech
8,8,54402.1903321,21.1069319582,PESMO,DeepSpeech
9,9,50567.3347905,24.1389074565,PESMO,DeepSpeech
10,10,50165.3704097,26.7697383273,PESMO,DeepSpeech
11,11,45016.5967174,27.357932287,PESMO,DeepSpeech
12,12,41430.9686163,28.4765293501,PESMO,DeepSpeech
13,13,34903.3367555,29.5607585591,PESMO,DeepSpeech
14,14,29357.5339539,29.655814691,PESMO,DeepSpeech
15,15,23514.4376577,30.2264386237,PESMO,DeepSpeech
16,16,60315.641191,30.451750183,ParEGO,DeepSpeech
17,17,45601.7163466,30.451750183,ParEGO,DeepSpeech
18,18,57807.6636286,30.451750183,ParEGO,DeepSpeech
19,19,38399.0318673,30.451750183,ParEGO,DeepSpeech
20,20,36932.0235588,30.451750183,ParEGO,DeepSpeech
21,21,33682.1154021,30.451750183,ParEGO,DeepSpeech
22,22,32987.702948,30.451750183,ParEGO,DeepSpeech
23,23,32821.1063969,30.451750183,ParEGO,DeepSpeech
24,24,27310.6871846,30.451750183,ParEGO,DeepSpeech
25,25,25511.9869096,30.7577504969,ParEGO,DeepSpeech
26,26,24980.8602103,31.1976581366,ParEGO,DeepSpeech
27,27,24166.4286187,32.0521761723,ParEGO,DeepSpeech
28,28,24155.3746551,32.8271531316,ParEGO,DeepSpeech
29,29,22505.7572245,33.6466598223,ParEGO,DeepSpeech
30,30,43490.2193652,23.6139669395,SMSEGO,DeepSpeech
31,31,42277.0819356,23.9724000337,SMSEGO,DeepSpeech
32,32,40341.3232207,24.4389221514,SMSEGO,DeepSpeech
33,33,38853.6562704,25.1014119105,SMSEGO,DeepSpeech
34,34,37603.8499203,25.7607410563,SMSEGO,DeepSpeech
35,35,33721.2305969,30.1925201483,SMSEGO,DeepSpeech
36,36,32752.0696501,30.3735695516,SMSEGO,DeepSpeech
37,37,31282.2668947,30.4433533544,SMSEGO,DeepSpeech
38,38,27350.0972533,30.5102410662,SMSEGO,DeepSpeech
39,39,25829.5161282,30.5355671419,SMSEGO,DeepSpeech
40,40,23579.3409245,31.3353706662,SMSEGO,DeepSpeech
41,41,42392.7001621,17.7942058369,FLEXIBO-GPLC,DeepSpeech
42,42,41441.3707555,19.9450938792,FLEXIBO-GPLC,DeepSpeech
43,43,35029.1381632,20.0618467863,FLEXIBO-GPLC,DeepSpeech
44,44,34573.9808292,21.0418364945,FLEXIBO-GPLC,DeepSpeech
45,45,33024.0800002,21.2951231872,FLEXIBO-GPLC,DeepSpeech
46,46,30975.2169773,21.4036428141,FLEXIBO-GPLC,DeepSpeech
47,47,29251.516028,21.522577615,FLEXIBO-GPLC,DeepSpeech
48,48,27259.6003364,22.0631367514,FLEXIBO-GPLC,DeepSpeech
49,49,23342.989457,22.5803313749,FLEXIBO-GPLC,DeepSpeech
50,50,22141.935028,22.8220103186,FLEXIBO-GPLC,DeepSpeech
51,51,14143.0612697,27.3305905613,FLEXIBO-GPLC,DeepSpeech
93,72,58608.7760803,18.5831464087,PESMO-DEC,DeepSpeech
94,72,54297.8660362,20.0577785517,PESMO-DEC,DeepSpeech
95,72,49700.4962454,22.2869334375,PESMO-DEC,DeepSpeech
96,72,48650.5812107,23.8551998791,PESMO-DEC,DeepSpeech
97,72,35251.9437218,28.9967200014,PESMO-DEC,DeepSpeech
98,72,34605.9985051,30.1247198774,PESMO-DEC,DeepSpeech
99,72,32472.6416517,31.4593722599,PESMO-DEC,DeepSpeech
100,72,25785.1918696,33.5114209412,PESMO-DEC,DeepSpeech
101,72,25449.2842645,34.8305143527,PESMO-DEC,DeepSpeech
102,72,23385.2146382,34.8322990114,PESMO-DEC,DeepSpeech
103,72,55835.9923234,22.8645675239,CA-MOBO,DeepSpeech
104,72,51042.5103118,25.5045494799,CA-MOBO,DeepSpeech
105,72,50846.01202,26.8026226256,CA-MOBO,DeepSpeech
106,72,49264.7386299,26.8057030178,CA-MOBO,DeepSpeech
107,72,40369.0762064,32.2826995907,CA-MOBO,DeepSpeech
108,72,39153.0042541,35.0067542657,CA-MOBO,DeepSpeech
109,72,30062.3349898,36.2678286705,CA-MOBO,DeepSpeech
