,Unnamed: 0,Energy,Error,Method,Architecture
0,0,41518.81451671824,19.777203420177802,PAL,Deepspeech
1,1,40007.90364945478,22.5334032290959,PAL,Deepspeech
2,2,32782.45734994412,23.5287567149381,PAL,Deepspeech
3,3,31456.41829401097,24.278114928108106,PAL,Deepspeech
4,4,27911.589473173903,32.1498057334697,PAL,Deepspeech
5,5,23086.083260108957,32.3381734699652,PAL,Deepspeech
6,6,17952.034461822106,33.0189524459672,PAL,Deepspeech
7,7,16239.49941936868,33.155545783116494,PAL,Deepspeech
8,8,44201.77964484971,21.1069319582115,PESMO,Deepspeech
9,9,41085.959517291,21.138907456462196,PESMO,Deepspeech
10,10,40759.36345789671,21.769738327349696,PESMO,Deepspeech
11,11,36575.98483288802,22.3579322870187,PESMO,Deepspeech
12,12,33662.662000745826,23.476529350119897,PESMO,Deepspeech
13,13,28358.96111382854,24.560758559114003,PESMO,Deepspeech
14,14,23852.996337505792,28.6558146910346,PESMO,Deepspeech
15,15,13905.480596857458,29.2264386237008,PESMO,Deepspeech
16,16,49006.458467718694,30.451750182975896,ParEGO,Deepspeech
17,17,37051.394531573496,30.451750182975896,ParEGO,Deepspeech
18,18,33968.72669826207,30.451750182975896,ParEGO,Deepspeech
19,19,31199.213392178783,30.451750182975896,ParEGO,Deepspeech
20,20,30007.269141521232,30.451750182975896,ParEGO,Deepspeech
21,21,27366.718764178815,30.451750182975896,ParEGO,Deepspeech
22,22,26802.508645274305,30.451750182975896,ParEGO,Deepspeech
23,23,26667.148947448102,30.451750182975896,ParEGO,Deepspeech
24,24,22189.933337458126,30.451750182975896,ParEGO,Deepspeech
25,25,20728.48936403869,30.757750496927898,ParEGO,Deepspeech
26,26,20296.948920887862,31.197658136573196,ParEGO,Deepspeech
27,27,19635.22325265397,32.0521761722997,ParEGO,Deepspeech
28,28,19626.241907306707,32.8271531316008,ParEGO,Deepspeech
29,29,18285.92774492445,33.6466598222777,ParEGO,Deepspeech
30,30,35335.803234228384,23.613966939506305,SMSEGO,Deepspeech
31,31,34350.12907267123,23.972400033718202,SMSEGO,Deepspeech
32,32,32777.32511679912,24.438922151388297,SMSEGO,Deepspeech
33,33,31568.595719693632,25.1014119105261,SMSEGO,Deepspeech
34,34,30553.12806023634,25.760741056348202,SMSEGO,Deepspeech
35,35,27398.49985995928,30.1925201482658,SMSEGO,Deepspeech
36,36,26611.056590692733,30.3735695515655,SMSEGO,Deepspeech
37,37,25416.841851977413,30.4433533544434,SMSEGO,Deepspeech
38,38,22221.95401833901,30.5102410662297,SMSEGO,Deepspeech
39,39,20986.481854188372,30.5355671419323,SMSEGO,Deepspeech
40,40,19158.214501175098,31.3353706661907,SMSEGO,Deepspeech
41,41,34444.06888168571,19.794205836907,FLEXIBO-GPLC,Deepspeech
42,42,33671.11373880865,19.9450938792112,FLEXIBO-GPLC,Deepspeech
43,43,28461.17475763263,20.0618467863313,FLEXIBO-GPLC,Deepspeech
44,44,28091.35942371278,21.041836494540604,FLEXIBO-GPLC,Deepspeech
45,45,26832.065000200062,21.2951231872094,FLEXIBO-GPLC,Deepspeech
46,46,25167.363794088233,21.4036428140647,FLEXIBO-GPLC,Deepspeech
47,47,23766.85677275468,21.522577614975102,FLEXIBO-GPLC,Deepspeech
48,48,22148.425273320063,22.0631367513528,FLEXIBO-GPLC,Deepspeech
49,49,18966.17893378897,22.580331374895497,FLEXIBO-GPLC,Deepspeech
50,50,17990.322210227772,22.822010318615998,FLEXIBO-GPLC,Deepspeech
51,51,11491.237281629952,27.330590561344398,FLEXIBO-GPLC,Deepspeech
55,74,32663.20153627245,19.661764285319,FLEXIBO-GPCC,Deepspeech
56,75,31268.591962562106,20.299670407225697,FLEXIBO-GPCC,Deepspeech
57,76,28245.486176032584,21.656687772947897,FLEXIBO-GPCC,Deepspeech
58,77,28059.3221683671,21.7655578838346,FLEXIBO-GPCC,Deepspeech
59,78,27860.265632267114,21.8612018699328,FLEXIBO-GPCC,Deepspeech
60,79,25740.71204994536,22.0583838110649,FLEXIBO-GPCC,Deepspeech
61,80,23948.699895172907,22.0876834214596,FLEXIBO-GPCC,Deepspeech
62,81,17203.052181981904,22.103238165068397,FLEXIBO-GPCC,Deepspeech
63,82,16372.312979000551,25.122586065707104,FLEXIBO-GPCC,Deepspeech
64,83,13537.16484885869,29.954296847406297,FLEXIBO-GPCC,Deepspeech
65,84,12268.98979196813,32.08259316102421,FLEXIBO-GPCC,Deepspeech
