,Energy,Error,Method,Architecture
0,0.319375496282448,0.197772034201778,PAL,DeepSpeech
1,0.307753104995806,0.225334032290959,PAL,DeepSpeech
2,0.252172748845724,0.235287567149381,PAL,DeepSpeech
3,0.241972448415469,0.242781149281081,PAL,DeepSpeech
4,0.21470453440903,0.321498057334697,PAL,DeepSpeech
5,0.177585255846992,0.323381734699652,PAL,DeepSpeech
6,0.138092572783247,0.330189524459672,PAL,DeepSpeech
7,0.124919226302836,0.331555457831165,PAL,DeepSpeech
8,0.340013689575767,0.211069319582115,PESMO,DeepSpeech
9,0.3160458424407,0.241389074564622,PESMO,DeepSpeech
10,0.313533565060744,0.267697383273497,PESMO,DeepSpeech
11,0.281353729483754,0.273579322870187,PESMO,DeepSpeech
12,0.258943553851891,0.284765293501199,PESMO,DeepSpeech
13,0.218145854721758,0.29560758559114,PESMO,DeepSpeech
14,0.183484587211583,0.296558146910346,PESMO,DeepSpeech
15,0.146965235360442,0.302264386237008,PESMO,DeepSpeech
16,0.37697275744399,0.304517501829759,ParEGO,DeepSpeech
17,0.28501072716595,0.304517501829759,ParEGO,DeepSpeech
18,0.361297897678939,0.304517501829759,ParEGO,DeepSpeech
19,0.239993949170606,0.304517501829759,ParEGO,DeepSpeech
20,0.230825147242471,0.304517501829759,ParEGO,DeepSpeech
21,0.210513221262914,0.304517501829759,ParEGO,DeepSpeech
22,0.206173143425187,0.304517501829759,ParEGO,DeepSpeech
23,0.20513191498037,0.304517501829759,ParEGO,DeepSpeech
24,0.170691794903524,0.304517501829759,ParEGO,DeepSpeech
25,0.159449918184913,0.307577504969279,ParEGO,DeepSpeech
26,0.156130376314522,0.311976581365732,ParEGO,DeepSpeech
27,0.151040178866569,0.320521761722997,ParEGO,DeepSpeech
28,0.150971091594667,0.328271531316008,ParEGO,DeepSpeech
29,0.140660982653265,0.336466598222777,ParEGO,DeepSpeech
30,0.271813871032526,0.236139669395063,SMSEGO,DeepSpeech
31,0.264231762097471,0.239724000337182,SMSEGO,DeepSpeech
32,0.252133270129224,0.244389221513883,SMSEGO,DeepSpeech
