,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
0,Deepspeech,0.0,0.264685818625,0.394000317931,0,FlexiBO+RF-Ratio,0.0,0.0,0.0,0.65
1,Deepspeech,5.2,0.320443571986,0.314386780213,1,FlexiBO+RF-Ratio,0.035244475553,5.2,1.0,0.554399839866
2,Deepspeech,0.0,0.2725430876,0.315697357377,2,FlexiBO+RF-Ratio,0.00254038564549,5.2,2.0,0.500297948553
3,Deepspeech,0.0,0.260845462172,0.32061105972,3,FlexiBO+RF-Ratio,0.0257187036846,5.2,3.0,0.496547198813
4,Deepspeech,0.0,0.220481047383,0.453047164876,4,FlexiBO+RF-Ratio,0.0211479953107,5.2,4.0,0.493361463971
5,Deepspeech,0.0,0.254889906607,0.427072032158,5,FlexiBO+RF-Ratio,0.0310193417201,5.2,5.0,0.471284032864
6,Deepspeech,0.0,0.19666841163,0.301597721697,6,FlexiBO+RF-Ratio,0.0153536491169,5.2,6.0,0.471129336518
7,Deepspeech,0.0,0.206643909903,0.292119113836,7,FlexiBO+RF-Ratio,0.0270435569432,5.2,7.0,0.43895138845
8,Deepspeech,0.0,0.294801593755,0.375046864596,8,FlexiBO+RF-Ratio,0.0171365812334,5.2,8.0,0.431431477177
9,Deepspeech,5.2,0.194685140653,0.355985662925,9,FlexiBO+RF-Ratio,0.0360501385259,10.4,9.0,0.431431477177
10,Deepspeech,0.0,0.287963448408,0.382963961193,10,FlexiBO+RF-Ratio,0.0118083200462,10.4,10.0,0.430154222234
11,Deepspeech,0.0,0.259970229516,0.278136195017,11,FlexiBO+RF-Ratio,0.0330015407666,10.4,11.0,0.430154222234
12,Deepspeech,0.0,0.271247592301,0.303634743254,12,FlexiBO+RF-Ratio,0.012028881632,10.4,12.0,0.41980644603
13,Deepspeech,5.2,0.241906953992,0.321088842703,13,FlexiBO+RF-Ratio,0.0208202076437,15.6,13.0,0.41980644603
14,Deepspeech,0.0,0.296637311025,0.321743311626,14,FlexiBO+RF-Ratio,0.030854996411,15.6,14.0,0.41980644603
15,Deepspeech,0.0,0.205146723132,0.312344613734,15,FlexiBO+RF-Ratio,0.0306140811297,15.6,15.0,0.41980644603
16,Deepspeech,0.0,0.208426712717,0.395764067108,16,FlexiBO+RF-Ratio,0.0335159520757,15.6,16.0,0.41980644603
17,Deepspeech,0.0,0.242305050672,0.420233063766,17,FlexiBO+RF-Ratio,0.00127385786257,15.6,17.0,0.41980644603
18,Deepspeech,5.2,0.361337431549,0.362876165075,18,FlexiBO+RF-Ratio,0.00294955871604,20.8,18.0,0.41980644603
19,Deepspeech,0.0,0.220717050376,0.33869392423,19,FlexiBO+RF-Ratio,0.0228606486501,20.8,19.0,0.41980644603
20,Deepspeech,5.2,0.290709199949,0.287419051375,20,FlexiBO+RF-Ratio,0.0475837033218,26.0,20.0,0.41980644603
21,Deepspeech,0.0,0.242026485509,0.343381075825,21,FlexiBO+RF-Ratio,0.00490099805483,26.0,21.0,0.41980644603
22,Deepspeech,0.0,0.244635989583,0.305197042421,22,FlexiBO+RF-Ratio,0.0203574313178,26.0,22.0,0.41980644603
23,Deepspeech,0.0,0.202811752561,0.336459603915,23,FlexiBO+RF-Ratio,0.00985371246819,26.0,23.0,0.41980644603
24,Deepspeech,0.0,0.198519988114,0.409138106497,24,FlexiBO+RF-Ratio,0.0413404673674,26.0,24.0,0.41980644603
25,Deepspeech,0.0,0.322101388221,0.388924029781,25,FlexiBO+RF-Ratio,0.000503234968204,26.0,25.0,0.41980644603
26,Deepspeech,0.0,0.219993830502,0.377782748202,26,FlexiBO+RF-Ratio,0.0343184959183,26.0,26.0,0.41980644603
27,Deepspeech,0.0,0.374565885425,0.282141401544,27,FlexiBO+RF-Ratio,0.0144804694469,26.0,27.0,0.41980644603
28,Deepspeech,0.0,0.214705660269,0.331533764592,28,FlexiBO+RF-Ratio,0.00274274416329,26.0,28.0,0.41980644603
29,Deepspeech,0.0,0.269444820605,0.288951461558,29,FlexiBO+RF-Ratio,0.0292025348017,26.0,29.0,0.41980644603
30,Deepspeech,0.0,0.333037264349,0.372676274945,30,FlexiBO+RF-Ratio,0.0460939973211,26.0,30.0,0.41980644603
31,Deepspeech,5.2,0.202473436962,0.324818884073,31,FlexiBO+RF-Ratio,0.0379848820371,31.2,31.0,0.41980644603
32,Deepspeech,0.0,0.26892150448,0.38049083627,32,FlexiBO+RF-Ratio,0.0484243133787,31.2,32.0,0.41980644603
33,Deepspeech,0.0,0.299124413575,0.275880894023,33,FlexiBO+RF-Ratio,0.00163372958262,31.2,33.0,0.41980644603
34,Deepspeech,0.0,0.27145438535,0.335126071348,34,FlexiBO+RF-Ratio,0.0319139449881,31.2,34.0,0.418225760623
35,Deepspeech,0.0,0.19717399509,0.306123715096,35,FlexiBO+RF-Ratio,0.0443850694095,31.2,35.0,0.418225760623
36,Deepspeech,0.0,0.225208915191,0.300678331367,36,FlexiBO+RF-Ratio,0.017984529697,31.2,36.0,0.418225760623
37,Deepspeech,0.0,0.288268839918,0.298717106558,37,FlexiBO+RF-Ratio,0.0360552867263,31.2,37.0,0.418225760623
38,Deepspeech,0.0,0.294022489939,0.323531916515,38,FlexiBO+RF-Ratio,0.0274678058214,31.2,38.0,0.418225760623
39,Deepspeech,0.0,0.252109774484,0.278072527415,39,FlexiBO+RF-Ratio,0.0418425285426,31.2,39.0,0.418225760623
40,Deepspeech,0.0,0.362709250004,0.281427071439,40,FlexiBO+RF-Ratio,0.0206026029035,31.2,40.0,0.418112855209
41,Deepspeech,0.0,0.192292453971,0.309730100126,41,FlexiBO+RF-Ratio,0.0415506655522,31.2,41.0,0.418112855209
42,Deepspeech,0.0,0.250493377317,0.341451405496,42,FlexiBO+RF-Ratio,0.02454121683,31.2,42.0,0.416369518297
43,Deepspeech,0.0,0.238431069511,0.328346617703,43,FlexiBO+RF-Ratio,0.0101626643877,31.2,43.0,0.416369518297
44,Deepspeech,0.0,0.257266805042,0.390007815644,44,FlexiBO+RF-Ratio,0.0295663829326,31.2,44.0,0.416369518297
45,Deepspeech,0.0,0.285369778225,0.311645416064,45,FlexiBO+RF-Ratio,0.0237545361556,31.2,45.0,0.416369518297
46,Deepspeech,0.0,0.199401790128,0.284796318109,46,FlexiBO+RF-Ratio,0.00288447343631,31.2,46.0,0.416369518297
47,Deepspeech,5.2,0.229027432387,0.312938865911,47,FlexiBO+RF-Ratio,0.0144590851037,36.4,47.0,0.415914903281
48,Deepspeech,0.0,0.353321201175,0.303135916503,48,FlexiBO+RF-Ratio,0.0470918708158,36.4,48.0,0.415914903281
