,Error,Energy,Iteration,Cost,Method,Architecture,Volume,SD
0,0.302400283905,0.292039440518,0,4.15,PAL,ResNet,0.65,0.0
1,0.406652617806,0.327495380409,1,4.15,PAL,ResNet,0.600971144452,0.0478200865334
2,0.340357822836,0.228826417199,2,4.15,PAL,ResNet,0.49130137887,0.0167548550583
3,0.402106806254,0.252448552453,3,4.15,PAL,ResNet,0.49130137887,0.00211208815386
4,0.311498294587,0.283356073957,4,4.15,PAL,ResNet,0.470619373242,0.0143947455446
5,0.337860615356,0.375375665818,5,4.15,PAL,ResNet,0.470619373242,0.0453954110496
6,0.341204280997,0.244497231994,6,4.15,PAL,ResNet,0.470619373242,0.0418077382804
7,0.342247867256,0.351598535246,7,4.15,PAL,ResNet,0.470619373242,0.0142920200341
8,0.37286497448,0.265085652774,8,4.15,PAL,ResNet,0.470619373242,0.00942300691523
9,0.356399863511,0.255251541937,9,4.15,PAL,ResNet,0.470619373242,0.0185664563123
10,0.378119257766,0.342291025718,10,4.15,PAL,ResNet,0.470619373242,0.0374628640977
11,0.319304376655,0.35651822381,11,4.15,PAL,ResNet,0.470619373242,0.0144187622707
12,0.311851738624,0.255014405576,12,4.15,PAL,ResNet,0.469811463256,0.0347261721567
13,0.345630262025,0.240274697845,13,4.15,PAL,ResNet,0.469811463256,0.0274398291633
14,0.38430409214,0.255576100465,14,4.15,PAL,ResNet,0.469811463256,0.0433379891957
15,0.436306908714,0.270556654499,15,4.15,PAL,ResNet,0.469811463256,0.0179638373716
16,0.323178442146,0.238057547891,16,4.15,PAL,ResNet,0.469520154943,0.0167487979488
17,0.35184293677,0.278808742564,17,4.15,PAL,ResNet,0.469520154943,0.0102688130852
18,0.355822063279,0.221233612356,18,4.15,PAL,ResNet,0.464629037585,0.0138716661482
19,0.402186592764,0.21237856191,19,4.15,PAL,ResNet,0.459335369707,0.00109815279215
20,0.349096704657,0.252769975956,20,4.15,PAL,ResNet,0.459335369707,0.00167558157532
21,0.327996368974,0.278447305633,21,4.15,PAL,ResNet,0.459335369707,0.0133630744218
22,0.357443187622,0.370760787326,22,4.15,PAL,ResNet,0.459335369707,0.0330202499594
23,0.371755730264,0.272748880401,23,4.15,PAL,ResNet,0.459335369707,0.00698521419273
24,0.384530047454,0.283600001012,24,4.15,PAL,ResNet,0.459335369707,0.0107496868993
25,0.344626469127,0.235456992284,25,4.15,PAL,ResNet,0.459335369707,0.0476297450462
26,0.327715183358,0.244961257555,26,4.15,PAL,ResNet,0.459335369707,0.0152840655911
27,0.399400815693,0.324574391158,27,4.15,PAL,ResNet,0.459335369707,0.00254992051294
28,0.357020161227,0.348164122254,28,4.15,PAL,ResNet,0.459335369707,0.0429097000319
29,0.380834831117,0.216756982105,29,4.15,PAL,ResNet,0.459239785764,0.0269568841142
30,0.430287680706,0.276912312604,30,4.15,PAL,ResNet,0.459239785764,0.00203290724391
