,Unnamed: 0,Energy,Error,Method,Architecture
37,37,67521.2130146,17.2145769791,FLEXIBO-GPLC,BERT-SQuAD
38,38,66662.5361914,17.8749078145,FLEXIBO-GPLC,BERT-SQuAD
39,39,55359.0251961,17.987980102,FLEXIBO-GPLC,BERT-SQuAD
40,40,54879.5435165,20.8555890618,FLEXIBO-GPLC,BERT-SQuAD
41,41,49639.1621584,21.3095271007,FLEXIBO-GPLC,BERT-SQuAD
42,42,49289.8814689,22.153438374,FLEXIBO-GPLC,BERT-SQuAD
43,43,42212.8164023,22.7716751024,FLEXIBO-GPLC,BERT-SQuAD
44,44,24580.8222774,23.1063022966,FLEXIBO-GPLC,BERT-SQuAD
45,45,23516.4422251,26.202261067,FLEXIBO-GPLC,BERT-SQuAD
46,46,21531.9026076,27.343334811,FLEXIBO-GPLC,BERT-SQuAD
47,47,18852.9059234,28.3853515063,FLEXIBO-GPLC,BERT-SQuAD
48,48,68596.8630067,19.5476390048,FLEXIBO-RFLC,BERT-SQuAD
49,49,63333.316787,21.8504391507,FLEXIBO-RFLC,BERT-SQuAD
50,50,60041.9045336,22.6390239878,FLEXIBO-RFLC,BERT-SQuAD
51,51,57934.0727041,22.7751735302,FLEXIBO-RFLC,BERT-SQuAD
52,52,53340.6004638,23.977554643,FLEXIBO-RFLC,BERT-SQuAD
53,53,50674.7104457,27.3960659931,FLEXIBO-RFLC,BERT-SQuAD
54,54,43904.7985741,27.6734614295,FLEXIBO-RFLC,BERT-SQuAD
55,55,34994.352071,27.7014926949,FLEXIBO-RFLC,BERT-SQuAD
56,56,33241.413608,28.4482974863,FLEXIBO-RFLC,BERT-SQuAD
57,77,60337.6369174,19.0077712567,FlexiBO+GP-No Cost,BERT-SQuAD
58,78,53301.2231248,22.0525578897,FlexiBO+GP-No Cost,BERT-SQuAD
59,79,52652.5806907,23.8192973835,FlexiBO+GP-No Cost,BERT-SQuAD
60,80,48181.762806,25.2159199911,FlexiBO+GP-No Cost,BERT-SQuAD
61,81,44603.3087793,26.5408634426,FlexiBO+GP-No Cost,BERT-SQuAD
62,82,40765.0070626,27.2260655237,FlexiBO+GP-No Cost,BERT-SQuAD
63,83,39859.7304888,27.7263298434,FlexiBO+GP-No Cost,BERT-SQuAD
64,84,38804.1541646,27.9956824353,FlexiBO+GP-No Cost,BERT-SQuAD
65,85,38570.4341233,28.9679371289,FlexiBO+GP-No Cost,BERT-SQuAD
66,86,36876.4783067,29.1063734581,FlexiBO+GP-No Cost,BERT-SQuAD
67,87,36855.9048453,29.221794059,FlexiBO+GP-No Cost,BERT-SQuAD
68,88,74492.4196936,19.7427562734,FlexiBO+RF-No Cost,BERT-SQuAD
69,89,67649.0356005,22.0587105394,FlexiBO+RF-No Cost,BERT-SQuAD
70,90,64970.1470258,23.732749978,FlexiBO+RF-No Cost,BERT-SQuAD
71,91,56870.9570605,24.2197637992,FlexiBO+RF-No Cost,BERT-SQuAD
72,92,49968.4104914,25.3509321588,FlexiBO+RF-No Cost,BERT-SQuAD
73,93,48334.736854,28.9030450189,FlexiBO+RF-No Cost,BERT-SQuAD
74,94,44000.5177998,29.4390192453,FlexiBO+RF-No Cost,BERT-SQuAD
75,95,42075.3456484,30.1110923382,FlexiBO+RF-No Cost,BERT-SQuAD
76,96,41256.8586091,31.7475470081,FlexiBO+RF-No Cost,BERT-SQuAD
77,97,40094.8090007,31.9095141715,FlexiBO+RF-No Cost,BERT-SQuAD
