,Unnamed: 0,Energy,Error,Method,Architecture
0,0,67594.7599953,16.5561020407,PAL,BERT-SQuAD
1,1,53804.7642038,18.0827483431,PAL,BERT-SQuAD
2,2,44751.2039376,19.2301901656,PAL,BERT-SQuAD
3,3,39416.2649038,23.6176281301,PAL,BERT-SQuAD
4,4,35067.5665523,24.3147515999,PAL,BERT-SQuAD
5,5,33897.4553524,24.7439658555,PAL,BERT-SQuAD
6,6,72754.2406246,20.8446293383,PESMO,BERT-SQuAD
7,7,57906.5562115,21.1420095025,PESMO,BERT-SQuAD
8,8,49678.5144735,22.993091766,PESMO,BERT-SQuAD
9,9,46444.1706636,27.2980189573,PESMO,BERT-SQuAD
10,10,34840.8600981,34.8367991373,PESMO,BERT-SQuAD
11,11,30377.3886986,37.9430782278,PESMO,BERT-SQuAD
12,12,83635.8484041,21.4767506396,ParEGO,BERT-SQuAD
13,13,62879.1500121,22.2549579008,ParEGO,BERT-SQuAD
14,14,48309.5804877,22.5633995156,ParEGO,BERT-SQuAD
15,15,43811.0491013,22.585303331,ParEGO,BERT-SQuAD
16,16,42596.2996613,22.9654728283,ParEGO,BERT-SQuAD
17,17,41366.3367121,23.2073127099,ParEGO,BERT-SQuAD
18,18,38831.2317142,23.5586493799,ParEGO,BERT-SQuAD
19,19,38101.9825069,27.6762398212,ParEGO,BERT-SQuAD
20,20,35701.8744633,28.9395700299,ParEGO,BERT-SQuAD
21,21,34719.5212227,29.7953954461,ParEGO,BERT-SQuAD
22,22,34710.9647207,30.851675729,ParEGO,BERT-SQuAD
23,23,34696.3920153,31.1001089953,ParEGO,BERT-SQuAD
24,24,61732.918417,24.2361904733,SMSEGO,BERT-SQuAD
25,25,54944.8010363,24.3724242829,SMSEGO,BERT-SQuAD
26,26,51974.2992071,24.81955938,SMSEGO,BERT-SQuAD
27,27,50159.4762128,24.9959437689,SMSEGO,BERT-SQuAD
28,28,48608.3885582,25.7269985805,SMSEGO,BERT-SQuAD
29,29,47737.2741178,26.2666066733,SMSEGO,BERT-SQuAD
30,30,47271.3357916,26.9960402166,SMSEGO,BERT-SQuAD
31,31,44041.8621235,27.0175401547,SMSEGO,BERT-SQuAD
32,32,42315.6035178,30.1316532154,SMSEGO,BERT-SQuAD
33,33,41635.8853336,30.3717669001,SMSEGO,BERT-SQuAD
34,34,41386.1180715,31.3020869902,SMSEGO,BERT-SQuAD
35,35,40165.8127837,31.8795942252,SMSEGO,BERT-SQuAD
36,36,39325.3848945,33.0843165539,SMSEGO,BERT-SQuAD
37,37,67521.2130146,17.2145769791,FLEXIBO-GPLC,BERT-SQuAD
38,38,66662.5361914,17.8749078145,FLEXIBO-GPLC,BERT-SQuAD
39,39,55359.0251961,17.987980102,FLEXIBO-GPLC,BERT-SQuAD
40,40,54879.5435165,20.8555890618,FLEXIBO-GPLC,BERT-SQuAD
41,41,49639.1621584,21.3095271007,FLEXIBO-GPLC,BERT-SQuAD
42,42,49289.8814689,22.153438374,FLEXIBO-GPLC,BERT-SQuAD
43,43,42212.8164023,22.7716751024,FLEXIBO-GPLC,BERT-SQuAD
44,44,24580.8222774,23.1063022966,FLEXIBO-GPLC,BERT-SQuAD
45,45,23516.4422251,26.202261067,FLEXIBO-GPLC,BERT-SQuAD
46,46,21531.9026076,27.343334811,FLEXIBO-GPLC,BERT-SQuAD
47,47,18852.9059234,28.3853515063,FLEXIBO-GPLC,BERT-SQuAD
99,76,80476.689408,17.0064571451,PESMO-DEC,BERT-SQuAD
100,76,78885.8083248,22.0961365298,PESMO-DEC,BERT-SQuAD
101,76,73058.8377649,25.7642429942,PESMO-DEC,BERT-SQuAD
102,76,66390.2328911,27.0693490162,PESMO-DEC,BERT-SQuAD
103,76,53597.3683941,29.6103673714,PESMO-DEC,BERT-SQuAD
104,76,46004.0623368,35.3449056179,PESMO-DEC,BERT-SQuAD
105,76,45878.043265,35.3851489534,PESMO-DEC,BERT-SQuAD
106,76,42925.0526248,35.4868949304,PESMO-DEC,BERT-SQuAD
107,76,30378.6837333,38.4364519282,PESMO-DEC,BERT-SQuAD
108,76,88456.5812116,24.7293473172,CA-MOBO,BERT-SQuAD
109,76,75396.3174487,25.1396641194,CA-MOBO,BERT-SQuAD
110,76,64668.3316103,25.2814466009,CA-MOBO,BERT-SQuAD
111,76,58921.0594123,27.9261996055,CA-MOBO,BERT-SQuAD
112,76,53344.6180108,28.7189624615,CA-MOBO,BERT-SQuAD
113,76,49573.4658487,31.1212043756,CA-MOBO,BERT-SQuAD
114,76,49433.1747859,35.3078430293,CA-MOBO,BERT-SQuAD
115,76,45983.0424544,35.9722802133,CA-MOBO,BERT-SQuAD
