,Error,Energy,Iteration,Cost,Method,Architecture
0,0.165561020407,0.293890260849,109,4.45,PAL,BERT-SQuAD
1,0.180827483431,0.233933757408,76,4.45,PAL,BERT-SQuAD
2,0.192301901656,0.194570451902,3,4.45,PAL,BERT-SQuAD
3,0.236176281301,0.171375064799,45,4.45,PAL,BERT-SQuAD
4,0.243147515999,0.152467680662,74,4.45,PAL,BERT-SQuAD
5,0.247439658555,0.147380240663,69,4.45,PAL,BERT-SQuAD
6,0.221390855285,0.255059387844,53,4.45,PAL,BERT-SQuAD
7,0.216062495118,0.214590646343,34,4.45,PAL,BERT-SQuAD
8,0.236858862763,0.250611250178,190,4.45,PAL,BERT-SQuAD
9,0.268713834559,0.234088548466,199,4.45,PAL,BERT-SQuAD
10,0.319577021331,0.23282645402,47,4.45,PAL,BERT-SQuAD
11,0.237594923734,0.235293212697,100,4.45,PAL,BERT-SQuAD
12,0.310986855836,0.21450620253,127,4.45,PAL,BERT-SQuAD
13,0.281546326644,0.261917831182,16,4.45,PAL,BERT-SQuAD
14,0.314964763932,0.261253659773,57,4.45,PAL,BERT-SQuAD
15,0.220719362716,0.295369216747,154,4.45,PAL,BERT-SQuAD
16,0.223890026867,0.254112579312,183,4.45,PAL,BERT-SQuAD
17,0.264572225489,0.217169244051,106,4.45,PAL,BERT-SQuAD
18,0.329579278389,0.262353278993,163,4.45,PAL,BERT-SQuAD
19,0.241360604721,0.239833122557,66,4.45,PAL,BERT-SQuAD
20,0.217282875957,0.270556817357,142,4.45,PAL,BERT-SQuAD
21,0.240045019034,0.209216797565,122,4.45,PAL,BERT-SQuAD
22,0.319275469176,0.282863357664,58,4.45,PAL,BERT-SQuAD
23,0.278026193653,0.259809170824,73,4.45,PAL,BERT-SQuAD
24,0.268522987889,0.22090918473,83,4.45,PAL,BERT-SQuAD
25,0.296516121375,0.274719310349,146,4.45,PAL,BERT-SQuAD
26,0.231553159917,0.217964023381,192,4.45,PAL,BERT-SQuAD
27,0.287412306787,0.254665053764,52,4.45,PAL,BERT-SQuAD
28,0.226463821686,0.226266131482,176,4.45,PAL,BERT-SQuAD
29,0.288038724677,0.263184266574,114,4.45,PAL,BERT-SQuAD
30,0.287132683297,0.283802360044,92,4.45,PAL,BERT-SQuAD
31,0.328132437628,0.210805810681,85,4.45,PAL,BERT-SQuAD
32,0.220728305885,0.306900620286,156,4.45,PAL,BERT-SQuAD
33,0.289195293018,0.353899229575,123,4.45,PAL,BERT-SQuAD
34,0.26380833385,0.247947625056,107,4.45,PAL,BERT-SQuAD
35,0.271247896155,0.273035963762,111,4.45,PAL,BERT-SQuAD
36,0.225640547038,0.210499826979,155,4.45,PAL,BERT-SQuAD
37,0.216680656178,0.211373309574,37,4.45,PAL,BERT-SQuAD
38,0.22723921715,0.221446331695,84,4.45,PAL,BERT-SQuAD
39,0.276565386757,0.23755195286,164,4.45,PAL,BERT-SQuAD
40,0.307493055284,0.2729427315,86,4.45,PAL,BERT-SQuAD
41,0.221286495626,0.228837427185,8,4.45,PAL,BERT-SQuAD
42,0.280075115664,0.272790140706,182,4.45,PAL,BERT-SQuAD
43,0.249910409492,0.210858930522,31,4.45,PAL,BERT-SQuAD
44,0.219249842403,0.240785318151,1,4.45,PAL,BERT-SQuAD
45,0.299662863372,0.250965938738,116,4.45,PAL,BERT-SQuAD
46,0.37290691666,0.218283827053,90,4.45,PAL,BERT-SQuAD
47,0.216816970314,0.203209575818,48,4.45,PAL,BERT-SQuAD
48,0.24981058346,0.199239565628,25,4.45,PAL,BERT-SQuAD
49,0.288731929991,0.306042538252,91,4.45,PAL,BERT-SQuAD
50,0.215538406522,0.300972280837,18,4.45,PAL,BERT-SQuAD
51,0.245299861185,0.234838194157,75,4.45,PAL,BERT-SQuAD
52,0.307804508155,0.228384025679,196,4.45,PAL,BERT-SQuAD
53,0.257693436929,0.238023537807,61,4.45,PAL,BERT-SQuAD
54,0.257402582452,0.290908982647,186,4.45,PAL,BERT-SQuAD
55,0.217936793308,0.245219682986,134,4.45,PAL,BERT-SQuAD
56,0.250904598652,0.292578070152,10,4.45,PAL,BERT-SQuAD
57,0.24716650197,0.305970282999,152,4.45,PAL,BERT-SQuAD
58,0.283858689194,0.205891070783,43,4.45,PAL,BERT-SQuAD
59,0.281142317977,0.291401340639,38,4.45,PAL,BERT-SQuAD
60,0.331989050254,0.215064273244,119,4.45,PAL,BERT-SQuAD
61,0.366922083005,0.282718835135,80,4.45,PAL,BERT-SQuAD
62,0.211627711224,0.293980071156,27,4.45,PAL,BERT-SQuAD
63,0.285683353911,0.211410181159,21,4.45,PAL,BERT-SQuAD
64,0.266010368378,0.226977665332,143,4.45,PAL,BERT-SQuAD
65,0.248838093864,0.250249034636,144,4.45,PAL,BERT-SQuAD
66,0.217070371073,0.28017698242,55,4.45,PAL,BERT-SQuAD
67,0.367432819846,0.248079641357,22,4.45,PAL,BERT-SQuAD
68,0.266622479121,0.25041416161,198,4.45,PAL,BERT-SQuAD
69,0.237005263775,0.239382674532,131,4.45,PAL,BERT-SQuAD
70,0.214605465077,0.278495773451,124,4.45,PAL,BERT-SQuAD
71,0.325242244473,0.272015573801,7,4.45,PAL,BERT-SQuAD
72,0.223657673041,0.233318596845,97,4.45,PAL,BERT-SQuAD
73,0.211716863969,0.280372258115,101,4.45,PAL,BERT-SQuAD
74,0.219078768728,0.260979566695,30,4.45,PAL,BERT-SQuAD
75,0.325901403804,0.229403548273,166,4.45,PAL,BERT-SQuAD
76,0.280254754944,0.364778207176,28,4.45,PAL,BERT-SQuAD
77,0.303047227623,0.236123139848,63,4.45,PAL,BERT-SQuAD
78,0.247863043908,0.303855978403,23,4.45,PAL,BERT-SQuAD
79,0.261405262444,0.322363906193,160,4.45,PAL,BERT-SQuAD
80,0.211578598729,0.276480904189,49,4.45,PAL,BERT-SQuAD
81,0.31478536481,0.21689667587,151,4.45,PAL,BERT-SQuAD
82,0.251053876751,0.272275719191,126,4.45,PAL,BERT-SQuAD
83,0.268749455373,0.218140551377,117,4.45,PAL,BERT-SQuAD
84,0.243867763794,0.281268492449,77,4.45,PAL,BERT-SQuAD
85,0.270176830306,0.350782599609,174,4.45,PAL,BERT-SQuAD
86,0.242322231054,0.202880059685,46,4.45,PAL,BERT-SQuAD
87,0.259575853484,0.394615358049,89,4.45,PAL,BERT-SQuAD
88,0.215742066789,0.231461016624,44,4.45,PAL,BERT-SQuAD
89,0.26384888725,0.203619195529,195,4.45,PAL,BERT-SQuAD
90,0.307056088863,0.266011489797,115,4.45,PAL,BERT-SQuAD
91,0.240823558024,0.210686180712,12,4.45,PAL,BERT-SQuAD
92,0.244659668013,0.202670190791,15,4.45,PAL,BERT-SQuAD
93,0.22654396373,0.353302582417,108,4.45,PAL,BERT-SQuAD
94,0.312344612016,0.266002044565,162,4.45,PAL,BERT-SQuAD
95,0.289498467799,0.325272897382,40,4.45,PAL,BERT-SQuAD
96,0.259650683797,0.255532303081,64,4.45,PAL,BERT-SQuAD
97,0.223269191654,0.200300247777,147,4.45,PAL,BERT-SQuAD
98,0.270415497268,0.207533261528,94,4.45,PAL,BERT-SQuAD
99,0.306597464081,0.230108745476,98,4.45,PAL,BERT-SQuAD
100,0.354170280296,0.294615669867,65,4.45,PAL,BERT-SQuAD
101,0.260703946259,0.206914099056,157,4.45,PAL,BERT-SQuAD
102,0.289809770389,0.220928305997,103,4.45,PAL,BERT-SQuAD
103,0.221148173097,0.234831380542,169,4.45,PAL,BERT-SQuAD
104,0.258523541854,0.265083563764,184,4.45,PAL,BERT-SQuAD
105,0.240473669346,0.356558766537,136,4.45,PAL,BERT-SQuAD
106,0.237617076175,0.304710255152,60,4.45,PAL,BERT-SQuAD
107,0.257657779057,0.314915952758,133,4.45,PAL,BERT-SQuAD
108,0.250547951488,0.209912998204,173,4.45,PAL,BERT-SQuAD
109,0.329745306761,0.249044509696,175,4.45,PAL,BERT-SQuAD
110,0.250632472198,0.345060007748,185,4.45,PAL,BERT-SQuAD
111,0.227150856209,0.267595912372,177,4.45,PAL,BERT-SQuAD
112,0.253924357924,0.242062056925,6,4.45,PAL,BERT-SQuAD
113,0.229687770337,0.228240686819,50,4.45,PAL,BERT-SQuAD
114,0.232246093662,0.229802151208,139,4.45,PAL,BERT-SQuAD
115,0.314409421325,0.263784007824,24,4.45,PAL,BERT-SQuAD
116,0.258070147962,0.254068389008,149,4.45,PAL,BERT-SQuAD
