,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
0,BERT-SQuAD,0.0,0.251518353875,0.405283286628,0,FlexiBO+RF-Ratio,0.0,0.0,0.0,0.65
1,BERT-SQuAD,0.0,0.260779311849,0.440889036496,1,FlexiBO+RF-Ratio,0.0172819907621,0.0,1.0,0.554865455397
2,BERT-SQuAD,0.0,0.272555532992,0.290253443601,2,FlexiBO+RF-Ratio,0.0205852620616,0.0,2.0,0.554865455397
3,BERT-SQuAD,0.0,0.326978720744,0.284827666838,3,FlexiBO+RF-Ratio,0.0171476125036,0.0,3.0,0.471187632546
4,BERT-SQuAD,0.0,0.27368163549,0.402275970095,4,FlexiBO+RF-Ratio,0.0491919904006,0.0,4.0,0.467535969328
5,BERT-SQuAD,0.0,0.276176586341,0.293560118059,5,FlexiBO+RF-Ratio,0.0468396808046,0.0,5.0,0.467535969328
6,BERT-SQuAD,4.45,0.237036366373,0.378956938581,6,FlexiBO+RF-Ratio,0.0486514494132,4.45,6.0,0.467535969328
7,BERT-SQuAD,0.0,0.282623669477,0.293008298328,7,FlexiBO+RF-Ratio,0.0279317395914,4.45,7.0,0.457988199375
8,BERT-SQuAD,0.0,0.243449616072,0.315272845289,8,FlexiBO+RF-Ratio,0.0200567189719,4.45,8.0,0.457988199375
9,BERT-SQuAD,0.0,0.267915495234,0.299831117661,9,FlexiBO+RF-Ratio,0.0261064799915,4.45,9.0,0.456134615447
10,BERT-SQuAD,0.0,0.293173936175,0.304230456403,10,FlexiBO+RF-Ratio,0.0284106737558,4.45,10.0,0.456062965248
11,BERT-SQuAD,0.0,0.282028707588,0.336467268503,11,FlexiBO+RF-Ratio,0.0398560607346,4.45,11.0,0.456062965248
12,BERT-SQuAD,4.45,0.279223184478,0.367621273465,12,FlexiBO+RF-Ratio,0.00690419420667,8.9,12.0,0.456062965248
13,BERT-SQuAD,4.45,0.235792947747,0.305710498579,13,FlexiBO+RF-Ratio,0.0109521608059,13.35,13.0,0.456062965248
14,BERT-SQuAD,0.0,0.240919403253,0.294493908363,14,FlexiBO+RF-Ratio,0.00788481882956,13.35,14.0,0.454495973821
15,BERT-SQuAD,4.45,0.297422864871,0.305186352704,15,FlexiBO+RF-Ratio,0.0152426233064,17.8,15.0,0.454168404868
16,BERT-SQuAD,0.0,0.328015403314,0.385780903078,16,FlexiBO+RF-Ratio,0.00929456653526,17.8,16.0,0.454168404868
17,BERT-SQuAD,0.0,0.27539089497,0.452618646547,17,FlexiBO+RF-Ratio,0.0418054832635,17.8,17.0,0.454168404868
18,BERT-SQuAD,4.45,0.256198047025,0.338800983942,18,FlexiBO+RF-Ratio,0.0412043742874,22.25,18.0,0.454168404868
19,BERT-SQuAD,0.0,0.295024361966,0.305555590485,19,FlexiBO+RF-Ratio,0.0291171562744,22.25,19.0,0.454168404868
20,BERT-SQuAD,0.0,0.286865141963,0.366683885609,20,FlexiBO+RF-Ratio,0.036569703162,22.25,20.0,0.454168404868
21,BERT-SQuAD,4.45,0.258842196836,0.290167488319,21,FlexiBO+RF-Ratio,0.0378693110698,26.7,21.0,0.454168404868
22,BERT-SQuAD,0.0,0.238919333853,0.288434067392,22,FlexiBO+RF-Ratio,0.00734151284829,26.7,22.0,0.454104397255
23,BERT-SQuAD,0.0,0.323637094628,0.416246559879,23,FlexiBO+RF-Ratio,0.0125281705888,26.7,23.0,0.453843124638
24,BERT-SQuAD,0.0,0.298925144973,0.284510237795,24,FlexiBO+RF-Ratio,0.0131742278686,26.7,24.0,0.453843124638
25,BERT-SQuAD,0.0,0.284329404085,0.452212860898,25,FlexiBO+RF-Ratio,0.0256447499758,26.7,25.0,0.453519410687
26,BERT-SQuAD,0.0,0.276024070838,0.328284053612,26,FlexiBO+RF-Ratio,0.0435289657801,26.7,26.0,0.453519410687
27,BERT-SQuAD,0.0,0.232584022588,0.383204884786,27,FlexiBO+RF-Ratio,0.00948998343212,26.7,27.0,0.453519410687
28,BERT-SQuAD,0.0,0.251535311273,0.283595415409,28,FlexiBO+RF-Ratio,0.0363182444472,26.7,28.0,0.451540161323
29,BERT-SQuAD,0.0,0.237713779191,0.324515663594,29,FlexiBO+RF-Ratio,0.0207172138602,26.7,29.0,0.450669499439
30,BERT-SQuAD,0.0,0.362621122765,0.44528546341,30,FlexiBO+RF-Ratio,0.0051102025864,26.7,30.0,0.450669499439
31,BERT-SQuAD,0.0,0.233388353273,0.304875254715,31,FlexiBO+RF-Ratio,0.0185712025712,26.7,31.0,0.450669499439
32,BERT-SQuAD,0.0,0.262990289996,0.286451511095,32,FlexiBO+RF-Ratio,0.0048400119949,26.7,32.0,0.450478537149
33,BERT-SQuAD,0.0,0.301825538474,0.324643020675,33,FlexiBO+RF-Ratio,0.0462117829964,26.7,33.0,0.450478537149
34,BERT-SQuAD,0.0,0.30177609051,0.310419699741,34,FlexiBO+RF-Ratio,0.0238514264413,26.7,34.0,0.450478537149
35,BERT-SQuAD,0.0,0.271040100974,0.341734329033,35,FlexiBO+RF-Ratio,0.0437827331669,26.7,35.0,0.450478537149
36,BERT-SQuAD,4.45,0.347739622661,0.323060450063,36,FlexiBO+RF-Ratio,0.010812683363,31.15,36.0,0.450478537149
37,BERT-SQuAD,0.0,0.235787144999,0.402566084166,37,FlexiBO+RF-Ratio,0.0104860938323,31.15,37.0,0.450478537149
38,BERT-SQuAD,0.0,0.228354837155,0.307301255173,38,FlexiBO+RF-Ratio,0.0102837136011,31.15,38.0,0.450478537149
39,BERT-SQuAD,4.45,0.365881925763,0.364175105693,39,FlexiBO+RF-Ratio,0.0168010756744,35.6,39.0,0.447487934089
40,BERT-SQuAD,4.45,0.275812289928,0.398191938739,40,FlexiBO+RF-Ratio,0.0388656494121,40.05,40.0,0.447487934089
41,BERT-SQuAD,0.0,0.399265855394,0.34300902705,41,FlexiBO+RF-Ratio,0.0176615126753,40.05,41.0,0.447487934089
42,BERT-SQuAD,0.0,0.268191697018,0.344554432678,42,FlexiBO+RF-Ratio,0.0107337864367,40.05,42.0,0.447487934089
43,BERT-SQuAD,4.45,0.252899162037,0.321620002973,43,FlexiBO+RF-Ratio,0.0273230768981,44.5,43.0,0.447487934089
44,BERT-SQuAD,0.0,0.363637684714,0.462096033201,44,FlexiBO+RF-Ratio,0.0455576647736,44.5,44.0,0.447487934089
45,BERT-SQuAD,0.0,0.277688525839,0.318765154524,45,FlexiBO+RF-Ratio,0.0125297028223,44.5,45.0,0.447487934089
46,BERT-SQuAD,0.0,0.241174792096,0.317853108835,46,FlexiBO+RF-Ratio,0.0113021502987,44.5,46.0,0.447487934089
47,BERT-SQuAD,0.0,0.325679089603,0.342049990122,47,FlexiBO+RF-Ratio,0.0137558273718,44.5,47.0,0.447487934089
48,BERT-SQuAD,0.0,0.375646460071,0.317677406326,48,FlexiBO+RF-Ratio,0.020473851427,44.5,48.0,0.447487934089
49,BERT-SQuAD,0.0,0.271910536147,0.309070561404,49,FlexiBO+RF-Ratio,0.0259418134306,44.5,49.0,0.447487934089
50,BERT-SQuAD,0.0,0.28968407087,0.379902732642,50,FlexiBO+RF-Ratio,0.0471366769143,44.5,50.0,0.447487934089
51,BERT-SQuAD,4.45,0.311104171301,0.281914465665,51,FlexiBO+RF-Ratio,0.046652950986,48.95,51.0,0.447487934089
52,BERT-SQuAD,0.0,0.228470644769,0.338850791351,52,FlexiBO+RF-Ratio,0.0340155929667,48.95,52.0,0.446329934822
53,BERT-SQuAD,0.0,0.30726427229,0.430519332017,53,FlexiBO+RF-Ratio,0.00291727533836,48.95,53.0,0.446329934822
54,BERT-SQuAD,4.45,0.299970570273,0.344057217759,54,FlexiBO+RF-Ratio,0.0413978661319,53.4,54.0,0.446329934822
55,BERT-SQuAD,0.0,0.262281856472,0.326122840617,55,FlexiBO+RF-Ratio,0.0192306757603,53.4,55.0,0.446329934822
